Hotspot Name,Predicted Species Richness,Number of Species in this study,Percent of Species in BH Not Found in Other BHs,Percentage of Prediction Completed,Number of Total Collections,Median Number of Collections per Species,Standard Deviation of the Average Number of Collections per Species,Pearson’s Moment Coefficient of Skewness
Atlantic Forest,20000,21682,27.4,108.41,1405493,10,3705.35,3705.35
California Floristic Province,3488,10128,31.2,290.37,865755,11,272.22,272.22
Cape Floristic Region,9000,10173,27.9,113.03,260731,10,251.06,251.06
Caribbean Islands,13000,8994,41.2,69.18,183158,6,103.35,103.35
Caucasus,6400,4804,19.3,75.06,83178,6,117.94,117.94
Cerrado,12070,16221,15.4,134.39,759156,6,2419.58,2419.58
Chilean Winter Rainfall and Valdivian Forests,3892,4261,49.3,109.48,53685,4,85.01,85.01
Coastal Forests of Eastern Africa,4000,3990,13.4,99.75,36339,3,60.77,60.77
East Melanesian Islands,8000,3199,29.2,39.99,49775,4,255.15,255.15
Eastern Afromontane,7598,10656,35.7,140.25,164304,5,146.74,146.74
Forests of East Australia,8257,9129,39.7,110.56,830186,32,377.77,377.77
Guinean Forests of West Africa,9000,7329,45.3,81.43,203767,10,176.67,176.67
Himalaya,10000,8968,20.9,89.68,125728,5,118.1,118.1
Horn of Africa,5000,3304,30,66.08,24931,3,53.77,53.77
Indo-Burma,13500,16851,36.7,124.82,369851,6,497.6,497.6
Irano-Anatolian,6000,5271,30.4,87.85,36513,3,84.13,84.13
Japan,5600,5902,25.7,105.39,1263447,34,496.72,496.72
Madagascar and the Indian Ocean Islands,13000,11016,71.3,84.74,372883,10,790.13,790.13
Madrean Pine-Oak Woodlands,5300,17054,13.9,321.77,684639,9,310.42,310.42
Maputaland-Pondoland-Albany,8100,8899,28.5,109.86,240078,8,445.04,445.04
Mediterranean Basin,22500,14874,52.1,66.11,1553577,12,697.26,697.26
Mesoamerica,17000,27007,24.8,158.86,2466284,17,1149.8,1149.8
Mountains of Central Asia,5500,3353,45.7,60.96,26327,3,61.17,61.17
Mountains of Southwest China,12000,10899,29.3,90.83,335442,8,232.01,232.01
New Caledonia,3270,3090,49,94.5,100647,10,306.45,306.45
New Zealand,2300,7195,19.4,312.83,243673,6,183.49,183.49
North American Coastal Plain,6200,11416,21.7,184.13,353054,6,116.76,116.76
Philippines,9253,4790,30,51.77,57550,4,253.36,253.36
Polynesia-Micronesia,5330,5326,29.6,99.92,62487,4,72.95,72.95
Southwest Australia,5571,6584,63.8,118.18,542706,36,620.41,620.41
Succulent Karoo,6356,6809,17.2,107.13,72178,4,101.41,101.41
Sundaland,25000,13019,46.7,52.08,376445,6,601.11,601.11
Tropical Andes,30000,34807,51,116.02,1249030,6,1711.25,1711.25
Tumbes-Choco-Magdalena,11000,11392,5.9,103.56,171594,4,287.1,287.1
Wallacea,10000,5470,21.8,54.7,73078,4,242.45,242.45
Western Ghats and Sri Lanka,5916,2249,29,38.02,9333,2,40.35,40.35
